cpower1,cspeed1,c1 LED,c1 VED,cpower2,cspeed2,c2 LED,c2 VED,angle,eta_SID,rho_s_SID,sig_s_SID,Sa,Sq,Ssk,Sku,sigma_s_rho,Sdq,Sdr
0,"4,000",0,0,35,2000,0.018,0.438,85,0.0629,0.6335,24.3892,18.752,24.3774,-0.0301,3.6309,38.49913181,75.992,514.935
0,"4,000",0,0,35,2000,0.018,0.438,90,0.0616,0.6405,24.5899,19.2328,25.1126,-0.1727,3.8444,38.39172521,75.883,507.513
0,"4,000",0,0,42,2000,0.021,0.525,0,0.0839,1.0554,17.2188,14.3387,17.9821,-0.3001,3.3401,16.31495168,57.572,83.877
0,"4,000",0,0,42,2000,0.021,0.525,5,0.0765,0.9622,26.3702,21.2419,27.4013,0.7477,3.9464,27.40615257,62.935,120.837
0,"4,000",0,0,42,2000,0.021,0.525,10,0.0653,0.866,28.203,23.0236,30.1324,0.4708,3.8289,32.5669746,66.97,166.048
0,"4,000",0,0,42,2000,0.021,0.525,15,0.0599,0.9101,28.843,23.3905,30.608,-0.0792,3.6294,31.69212174,69.408,208.549
0,"4,000",0,0,42,2000,0.021,0.525,20,0.0567,0.8946,27.7217,23.3292,29.7716,-0.1783,3.4349,30.98781578,71.722,268.645
0,"4,000",0,0,42,2000,0.021,0.525,25,0.0525,0.8219,33.2556,26.448,34.1364,0.7026,4.131,40.46185667,73.58,331.762
0,"4,000",0,0,42,2000,0.021,0.525,30,0.0528,0.8102,33.1941,26.4384,34.3547,0.3918,4.0709,40.97025426,73.735,338.376
0,"4,000",0,0,42,2000,0.021,0.525,35,0.0508,0.8514,30.8127,23.8723,30.7077,0.36,3.3236,36.1906272,74.445,377.94
0,"4,000",0,0,42,2000,0.021,0.525,40,0.0493,0.8142,31.9644,25.3985,32.3286,0.1439,3.1394,39.25865881,74.685,383.146
0,"4,000",0,0,42,2000,0.021,0.525,45,0.0497,0.7641,35.1108,27.0019,35.3466,0.5093,3.806,45.95053004,74.72,392.158
0,"4,000",0,0,42,2000,0.021,0.525,50,0.0525,0.7985,29.4157,23.719,30.2403,-0.267,3.4066,36.83869756,74.541,392.556
0,"4,000",0,0,42,2000,0.021,0.525,55,0.0531,0.7511,32.3367,24.6709,33.3184,0.2264,4.9503,43.0524564,76.931,547.677
0,"4,000",0,0,42,2000,0.021,0.525,60,0.058,0.663,29.0675,22.6498,29.4743,0.0669,4.0659,43.84238311,77.285,586.459
0,"4,000",0,0,42,2000,0.021,0.525,65,0.0521,0.7535,27.4449,21.912,28.0426,0.0568,3.486,36.42322495,76.2,452.693
0,"4,000",0,0,42,2000,0.021,0.525,70,0.0529,0.7447,28.2922,21.8098,28.2163,0.2259,4.17,37.99140594,75.255,449.325
0,"4,000",0,0,42,2000,0.021,0.525,75,0.0639,0.612,25.3454,19.5958,25.1209,0.1489,3.6825,41.41405229,77.352,616.199
0,"4,000",0,0,42,2000,0.021,0.525,80,0.0588,0.6899,23.3147,18.3298,23.5333,-0.0526,3.584,33.79431802,75.639,484.395
0,"4,000",0,0,42,2000,0.021,0.525,85,0.0569,0.6515,27.4409,21.2263,27.3744,0.269,3.6912,42.11957022,75.823,488.944
0,"4,000",0,0,42,2000,0.021,0.525,90,0.0557,0.6765,24.9275,19.0487,25.0272,0.1803,3.8646,36.84774575,74.416,411.069
110.4,390,0.283,7.077,64,800,0.08,2,0,0.1129,1.0035,12.2711,9.721,12.604,0.0038,4.1768,12.22830095,56.015,76.667
110.4,390,0.283,7.077,64,800,0.08,2,5,0.0869,0.9374,27.7919,23.3886,28.9757,-0.2522,3.0274,29.64785577,62.54,122.478
110.4,390,0.283,7.077,64,800,0.08,2,10,0.0898,0.8947,28.1871,23.4617,28.7494,0.2776,2.7,31.50452666,65.46,157.848
110.4,390,0.283,7.077,64,800,0.08,2,15,0.0954,0.8899,19.2874,16.0995,19.9371,0.0875,2.7769,21.6736712,63.338,133.28
110.4,390,0.283,7.077,64,800,0.08,2,20,0.0936,0.8278,19.4611,16.2289,21.0244,0.6883,4.1693,23.50942257,66.38,170.344
110.4,390,0.283,7.077,64,800,0.08,2,25,0.0926,0.8227,19.0698,15.5226,19.9008,0.4829,4.0341,23.17953081,69.34,223.262
110.4,390,0.283,7.077,64,800,0.08,2,30,0.0965,0.8092,20.7476,17.29,21.5617,0.33,3.3084,25.63964409,67.358,187.326
110.4,390,0.283,7.077,64,800,0.08,2,35,0.0903,0.8356,20.734,16.7708,21.6827,0.4504,3.6138,24.8133078,69.644,233.693
110.4,390,0.283,7.077,64,800,0.08,2,40,0.097,0.8453,17.1888,13.8952,17.7946,0.4508,3.419,20.33455578,68.313,210.235
110.4,390,0.283,7.077,64,800,0.08,2,45,0.0973,0.8279,16.4443,13.4962,17.7885,0.9447,5.1719,19.86266457,69.6,236.354
110.4,390,0.283,7.077,64,800,0.08,2,50,0.1024,0.833,15.1161,12.0352,15.9098,0.7379,4.3345,18.14657863,69.189,229.2
110.4,390,0.283,7.077,64,800,0.08,2,55,0.1111,0.6949,15.4263,12.4587,16.2221,0.9136,5.4389,22.19930925,74.173,402.241
110.4,390,0.283,7.077,64,800,0.08,2,60,0.1131,0.7669,13.8269,10.9762,14.4605,0.6849,5.0072,18.02959969,73.497,368.142
110.4,390,0.283,7.077,64,800,0.08,2,65,0.1099,0.7825,10.5551,8.1051,10.8716,0.9077,5.8335,13.48894569,69.731,242.91
110.4,390,0.283,7.077,64,800,0.08,2,70,0.1078,0.8233,10.3012,7.9388,10.7349,1.2245,6.2842,12.51208551,68.581,217.309
110.4,390,0.283,7.077,64,800,0.08,2,75,0.1092,0.8315,9.3326,7.2198,9.5435,0.8019,5.3743,11.22381239,65.492,162.263
110.4,390,0.283,7.077,64,800,0.08,2,80,0.1044,0.9224,8.295,6.4045,8.717,1.193,6.2916,8.992844753,64.482,151.491
110.4,390,0.283,7.077,64,800,0.08,2,85,0.103,0.9514,8.0846,6.17,8.4636,1.1833,5.6527,8.49758251,62.229,126.04
110.4,390,0.283,7.077,64,800,0.08,2,90,0.102,0.9863,8.5726,6.1828,8.9656,1.785,8.9279,8.691675961,62.912,132.919
124.2,390,0.318461538,7.961538462,72,800,0.09,2.25,0,0.0912,1.4719,11.2376,8.9189,11.7095,1.0672,6.8609,7.634757796,52.249,59.954
124.2,390,0.318461538,7.961538462,72,800,0.09,2.25,5,0.0583,0.92,39.5403,32.997,41.3593,0.8872,3.5533,42.97858696,66.59,155.365
124.2,390,0.318461538,7.961538462,72,800,0.09,2.25,10,0.0621,0.9592,28.2169,23.3805,28.8706,-0.0994,2.7207,29.41711843,62.759,118.661
124.2,390,0.318461538,7.961538462,72,800,0.09,2.25,15,0.0523,0.9951,31.0056,24.8131,31.8823,0.4904,3.4913,31.15827555,65.855,148.477
124.2,390,0.318461538,7.961538462,72,800,0.09,2.25,20,0.0615,1.0895,23.5874,19.5902,25.1839,0.3911,3.3553,21.64974759,61.974,111.731
